strategy,underlying,vehicle,fast_period,fast_mult,mid_period,mid_mult,slow_period,slow_mult,exit_mode,trail_target,time_stop_bars,adx_min,full_trades,full_wr_pct,full_pf,full_ret_pct,full_sharpe,full_max_dd,is_pf,is_ret_pct,oos_trades,oos_wr_pct,oos_pf,oos_ret_pct,oos_sharpe,oos_max_dd,vol_surge_mult,min_body_ratio,opening_lockout_min,tranche_a_r,stagnation_bars
sterling_kite_engine,NIFTY 50,delta1,14,0.75,14,2.0,7,3.0,two_red,fast,18,25,265,36.6,1.0,0.14,0.01,15.83,0.93,-3.21,78,43.6,1.13,3.35,0.4,4.63,,,,,
sterling_kite_engine,NIFTY 50,options_atm,14,0.75,14,2.0,7,3.0,two_red,fast,18,25,265,32.8,1.05,1.99,0.25,8.5,1.02,0.38,78,42.3,1.13,1.61,0.38,2.42,,,,,
sterling_kite_engine,NIFTY 50,delta1,14,0.75,14,2.0,7,3.0,two_red,fast,30,25,265,36.6,1.0,-0.14,-0.01,16.11,0.92,-3.81,78,43.6,1.14,3.67,0.44,4.63,,,,,
sterling_kite_engine,NIFTY 50,options_atm,14,0.75,14,2.0,7,3.0,two_red,fast,30,25,265,32.8,1.04,1.52,0.2,8.73,0.99,-0.16,78,42.3,1.13,1.67,0.39,2.42,,,,,
sterling_kite_engine,NIFTY 50,delta1,14,0.75,14,2.0,7,3.0,two_red,fast,48,25,265,36.6,0.99,-0.91,-0.07,16.11,0.92,-3.81,78,43.6,1.11,2.9,0.35,4.63,,,,,
sterling_kite_engine,NIFTY 50,options_atm,14,0.75,14,2.0,7,3.0,two_red,fast,48,25,265,32.8,1.03,0.93,0.12,8.73,0.99,-0.16,78,42.3,1.08,1.08,0.26,2.42,,,,,
sterling_kite_engine,NIFTY 50,delta1,14,0.75,14,2.0,7,3.0,two_red,mid,none,none,480,35.2,1.1,21.13,0.52,12.48,1.15,20.73,140,40.7,1.0,0.41,0.02,14.68,,,,,
sterling_kite_engine,NIFTY 50,options_atm,14,0.75,14,2.0,7,3.0,two_red,mid,none,none,480,30.6,1.06,6.49,0.28,10.27,1.15,11.5,140,36.4,0.88,-5.02,-0.56,11.06,,,,,
sterling_kite_engine,NIFTY 50,delta1,14,0.75,14,2.0,7,3.0,two_red,mid,18,none,566,40.1,0.96,-8.97,-0.23,17.84,0.99,-1.66,159,42.1,0.92,-7.31,-0.43,13.1,,,,,
sterling_kite_engine,NIFTY 50,options_atm,14,0.75,14,2.0,7,3.0,two_red,mid,18,none,566,35.7,0.95,-6.58,-0.32,14.37,0.99,-0.86,159,36.5,0.87,-5.72,-0.67,7.05,,,,,
